Time (s),Channel 1 (V)
-7.02E-05,-0.002341958
-7.02E-05,-0.002341958
-7.02E-05,-0.003345118
-7.01E-05,-0.003010732
-7.01E-05,-0.002341958
-7.01E-05,-0.002676345
-7.01E-05,-0.002341958
-7.01E-05,-0.002676345
-7.00E-05,-0.002341958
-7.00E-05,-0.002341958
-7.00E-05,-0.002341958
-7.00E-05,-0.001338799
-7.00E-05,-0.002341958
-6.99E-05,-0.002341958
-6.99E-05,-0.002341958
-6.99E-05,-0.002676345
-6.99E-05,-0.001673185
-6.99E-05,-0.003345118
-6.98E-05,-0.002007572
-6.98E-05,-0.003010732
-6.98E-05,-0.003345118
-6.98E-05,-0.002676345
-6.98E-05,-0.002341958
-6.97E-05,-0.002007572
-6.97E-05,-0.004348278
-6.97E-05,-0.002007572
-6.97E-05,-0.002676345
-6.97E-05,-0.002676345
-6.96E-05,-0.002341958
-6.96E-05,-0.002341958
-6.96E-05,-0.003010732
-6.96E-05,-0.002341958
-6.96E-05,-0.003010732
-6.95E-05,-0.003345118
-6.95E-05,-0.002007572
-6.95E-05,-0.003345118
-6.95E-05,-0.002341958
-6.95E-05,-0.001673185
-6.94E-05,-0.002007572
-6.94E-05,-0.002676345
-6.94E-05,-0.002341958
-6.94E-05,-0.002341958
-6.94E-05,-0.001004412
-6.93E-05,-0.002007572
-6.93E-05,-0.002341958
-6.93E-05,-0.002007572
-6.93E-05,-0.002341958
-6.93E-05,-0.002341958
-6.92E-05,-0.002676345
-6.92E-05,-0.002341958
-6.92E-05,-0.000670025
-6.92E-05,-0.002341958
-6.92E-05,-0.002676345
-6.91E-05,-0.002676345
-6.91E-05,-0.002341958
-6.91E-05,-0.003345118
-6.91E-05,-0.003345118
-6.91E-05,-0.003010732
-6.90E-05,-0.001673185
-6.90E-05,-0.002676345
-6.90E-05,-0.002007572
-6.90E-05,-0.002341958
-6.90E-05,-0.001673185
-6.89E-05,-0.002676345
-6.89E-05,-0.002341958
-6.89E-05,-0.001673185
-6.89E-05,-0.002676345
-6.89E-05,-0.002341958
-6.88E-05,-0.002341958
-6.88E-05,-0.002341958
-6.88E-05,-0.001338799
-6.88E-05,-0.003010732
-6.88E-05,-0.002676345
-6.87E-05,-0.002341958
-6.87E-05,-0.001673185
-6.87E-05,-0.003010732
-6.87E-05,-0.002341958
-6.87E-05,-0.002007572
-6.86E-05,-0.001673185
-6.86E-05,-0.002341958
-6.86E-05,-0.003010732
-6.86E-05,-0.003010732
-6.86E-05,-0.001673185
-6.85E-05,-0.002007572
-6.85E-05,-0.002007572
-6.85E-05,-0.002676345
-6.85E-05,-0.001673185
-6.85E-05,-0.002676345
-6.84E-05,-0.001338799
-6.84E-05,-0.003010732
-6.84E-05,-0.002676345
-6.84E-05,-0.003010732
-6.84E-05,-0.001338799
-6.83E-05,-0.001673185
-6.83E-05,-0.002341958
-6.83E-05,-0.002676345
-6.83E-05,-0.001338799
-6.83E-05,-0.003010732
-6.82E-05,-0.001673185
-6.82E-05,-0.001673185
-6.82E-05,-0.003010732
-6.82E-05,-0.002341958
-6.82E-05,-0.002007572
-6.81E-05,-0.002007572
-6.81E-05,-0.002676345
-6.81E-05,-0.001673185
-6.81E-05,-0.003345118
