time	V(voa)	V(vosc)
1.441617776431275e-03	2.596608e+00	1.284367e+00
1.441948104084837e-03	2.443671e+00	1.206862e+00
1.442395215188593e-03	2.223434e+00	1.094529e+00
1.442910234071723e-03	1.951955e+00	9.543262e-01
1.443940271837982e-03	1.351483e+00	6.387726e-01
1.445859740970246e-03	2.550087e-02	-6.084426e-02
1.448799373629642e-03	-2.521589e+00	-1.289704e+00
1.448938605861175e-03	-2.655653e+00	-1.358000e+00
1.448980315881315e-03	-2.691580e+00	-1.378547e+00
1.449018301738003e-03	-2.715528e+00	-1.397282e+00
1.449071970710996e-03	-2.734307e+00	-1.423710e+00
1.449247520285456e-03	-2.767923e+00	-1.509315e+00
1.449381284685675e-03	-2.786850e+00	-1.573295e+00
1.449631080320923e-03	-2.816210e+00	-1.689982e+00
1.450035649524947e-03	-2.856298e+00	-1.872097e+00
1.450513999364831e-03	-2.896574e+00	-2.076746e+00
1.451017425317579e-03	-2.933836e+00	-2.276901e+00
1.451824366984850e-03	-2.985932e+00	-2.568143e+00
1.452695805633586e-03	-3.033588e+00	-2.842465e+00
1.453904699813067e-03	-3.086822e+00	-3.173259e+00
1.454060277404303e-03	-3.092558e+00	-3.210880e+00
1.454099171802112e-03	-3.093977e+00	-3.219532e+00
1.454176960597729e-03	-3.096787e+00	-3.236542e+00
1.454332538188965e-03	-3.102242e+00	-3.269955e+00
1.454371432586773e-03	-3.103566e+00	-3.278129e+00
1.454449221382391e-03	-3.106186e+00	-3.294062e+00
1.454604798973626e-03	-3.111268e+00	-3.324811e+00
1.454915954156097e-03	-3.120804e+00	-3.381810e+00
1.455538264521039e-03	-3.137449e+00	-3.478343e+00
1.456782885250922e-03	-3.161645e+00	-3.611094e+00
1.458882051874385e-03	-3.178097e+00	-3.702818e+00
1.460935844070872e-03	-3.168665e+00	-3.645059e+00
1.463399788740401e-03	-3.130025e+00	-3.436523e+00
1.463669671644261e-03	-3.124020e+00	-3.403590e+00
1.464209437451979e-03	-3.111449e+00	-3.323708e+00
1.465288969067415e-03	-3.083254e+00	-3.152792e+00
1.465558851971275e-03	-3.075501e+00	-3.107029e+00
1.466098617778993e-03	-3.059539e+00	-3.009276e+00
1.467178149394430e-03	-3.025220e+00	-2.801327e+00
1.469337212625303e-03	-2.948504e+00	-2.357779e+00
1.471450288309484e-03	-2.862650e+00	-1.903815e+00
1.473428218772040e-03	-2.755789e+00	-1.469672e+00
1.474062365256367e-03	-2.658171e+00	-1.329137e+00
1.474268924034276e-03	-2.583191e+00	-1.282275e+00
1.474666549930003e-03	-2.395708e+00	-1.188694e+00
1.475174732018025e-03	-2.141766e+00	-1.059702e+00
1.475540219690001e-03	-1.947788e+00	-9.617032e-01
1.475948435742086e-03	-1.719599e+00	-8.458961e-01
1.476568392711608e-03	-1.350150e+00	-6.583915e-01
1.477243696530014e-03	-9.156152e-01	-4.375908e-01
1.478220082632340e-03	-2.282224e-01	-9.738623e-02
1.478281452034429e-03	-1.824929e-01	-7.495277e-02
1.478434875539651e-03	-6.733574e-02	-1.710330e-02
1.478496244941740e-03	-2.080490e-02	6.345049e-03
1.478618983745917e-03	7.309320e-02	5.351538e-02
1.478649668446961e-03	9.677608e-02	6.538911e-02
1.478711037849050e-03	1.442811e-01	8.932430e-02
1.478833776653227e-03	2.401249e-01	1.377040e-01
1.479079254261582e-03	4.351426e-01	2.365427e-01
1.479570209478291e-03	8.384591e-01	4.424810e-01
1.480552119911710e-03	1.697682e+00	8.741277e-01
1.481050565548764e-03	2.160330e+00	1.103438e+00
1.481528642811538e-03	2.619485e+00	1.333357e+00
1.481632574318399e-03	2.705482e+00	1.384440e+00
1.481692979070857e-03	2.732069e+00	1.414185e+00
1.481812417106185e-03	2.756806e+00	1.472691e+00
1.481999298066166e-03	2.784624e+00	1.562540e+00
1.482248472679474e-03	2.814101e+00	1.679411e+00
1.482559111339958e-03	2.845655e+00	1.819679e+00
1.483180388660925e-03	2.899676e+00	2.083359e+00
1.483992809657569e-03	2.959167e+00	2.397223e+00
1.485028556973833e-03	3.022292e+00	2.743271e+00
1.486400726939495e-03	3.088238e+00	3.138230e+00
1.486594211681484e-03	3.095877e+00	3.186708e+00
1.486739325237976e-03	3.101498e+00	3.219368e+00
1.486933565779738e-03	3.108734e+00	3.261974e+00
1.486944146976565e-03	3.109118e+00	3.264227e+00
1.487165056453189e-03	3.116900e+00	3.309569e+00
1.487385965929812e-03	3.124264e+00	3.351981e+00
1.487606875406435e-03	3.131210e+00	3.391462e+00
1.487827784883058e-03	3.137739e+00	3.428012e+00
1.488048694359682e-03	3.143850e+00	3.461631e+00
1.488269603836305e-03	3.149543e+00	3.492319e+00
1.488490513312928e-03	3.154819e+00	3.520076e+00
1.490038391248838e-03	3.181357e+00	3.649754e+00
1.492699663733105e-03	3.188463e+00	3.672705e+00
1.495409027820904e-03	3.153944e+00	3.485040e+00
1.497900759656012e-03	3.093365e+00	3.166823e+00
1.498266970593512e-03	3.082324e+00	3.107016e+00
1.498999392468512e-03	3.059425e+00	2.971550e+00
1.500464236218512e-03	3.009392e+00	2.680540e+00
1.503393923718512e-03	2.895171e+00	2.060727e+00
1.505756425291905e-03	2.779896e+00	1.543686e+00
1.506538135650028e-03	2.708732e+00	1.370167e+00
1.506868394314322e-03	2.617976e+00	1.295821e+00
1.507095567121347e-03	2.516284e+00	1.243415e+00
1.507606573531187e-03	2.268863e+00	1.118284e+00
1.508292438560312e-03	1.907483e+00	9.345289e-01
1.508881009632771e-03	1.570344e+00	7.624670e-01
1.509722501152658e-03	1.044410e+00	4.917155e-01
1.511100942734530e-03	7.055184e-02	-1.112384e-02
1.512983928720861e-03	-1.484951e+00	-7.733752e-01
1.513219531735569e-03	-1.699720e+00	-8.774293e-01
1.513930333847323e-03	-2.365479e+00	-1.211513e+00
1.514225506577710e-03	-2.650703e+00	-1.355317e+00
1.514268566182127e-03	-2.688452e+00	-1.376560e+00
1.514305816884567e-03	-2.713131e+00	-1.394957e+00
1.514360775703325e-03	-2.733480e+00	-1.422063e+00
1.514534532555499e-03	-2.767155e+00	-1.506955e+00
1.514659661789270e-03	-2.785102e+00	-1.566940e+00
1.514909920256813e-03	-2.814847e+00	-1.684247e+00
1.515287136189632e-03	-2.852693e+00	-1.854940e+00
1.515746359175010e-03	-2.892009e+00	-2.052847e+00
1.516239200602922e-03	-2.929087e+00	-2.250774e+00
1.517038025077049e-03	-2.981499e+00	-2.542792e+00
1.517898023231554e-03	-3.029389e+00	-2.818180e+00
1.519069042593289e-03	-3.082268e+00	-3.129454e+00
1.520315102723490e-03	-3.124533e+00	-3.404021e+00
1.520497240509298e-03	-3.129447e+00	-3.437167e+00
1.520861516080912e-03	-3.138725e+00	-3.492269e+00
1.521590067224140e-03	-3.154138e+00	-3.580043e+00
1.523047169510596e-03	-3.173349e+00	-3.680425e+00
1.525300313013146e-03	-3.176378e+00	-3.682201e+00
1.527969932847792e-03	-3.144947e+00	-3.527922e+00
1.528270579060361e-03	-3.139086e+00	-3.497002e+00
1.528871871485499e-03	-3.126623e+00	-3.416325e+00
1.530074456335776e-03	-3.097628e+00	-3.229699e+00
1.532479626036328e-03	-3.026088e+00	-2.796084e+00
1.534786864950854e-03	-2.943633e+00	-2.330051e+00
1.536980960948429e-03	-2.853027e+00	-1.857067e+00
1.538465456925142e-03	-2.775295e+00	-1.530655e+00
1.539068583352760e-03	-2.723539e+00	-1.397562e+00
1.539332481454534e-03	-2.673876e+00	-1.339023e+00
1.539482947625590e-03	-2.622987e+00	-1.305133e+00
1.539777847642319e-03	-2.491241e+00	-1.236948e+00
1.540178389267134e-03	-2.298085e+00	-1.138485e+00
1.540671835951621e-03	-2.044261e+00	-1.008679e+00
1.541341222366409e-03	-1.671970e+00	-8.171039e-01
1.542501695778139e-03	-9.492753e-01	-4.588533e-01
1.542645935340971e-03	-8.518118e-01	-4.112772e-01
1.542934414466636e-03	-6.537984e-01	-3.104134e-01
1.543511372717965e-03	-2.393329e-01	-1.031222e-01
1.543584922215537e-03	-1.845304e-01	-7.594185e-02
1.543732021210682e-03	-7.412437e-02	-2.010737e-02
1.544026219200972e-03	1.514858e-01	9.311141e-02
1.544093297529926e-03	2.039870e-01	1.193378e-01
1.544227454187833e-03	3.096534e-01	1.727208e-01
1.544495767503648e-03	5.249654e-01	2.819149e-01
1.545032394135278e-03	9.714474e-01	5.101548e-01
1.546105647398537e-03	1.927041e+00	9.901615e-01
1.546648846064584e-03	2.441835e+00	1.244684e+00
1.546879054329097e-03	2.662200e+00	1.356432e+00
1.546974769815109e-03	2.724525e+00	1.403496e+00
1.547054314799830e-03	2.745181e+00	1.442596e+00
1.547311438241859e-03	2.785676e+00	1.566881e+00
